序号,单词,词性,音标,中文意思,简易英文例句,主题
1063,scripture,n.,/ˈskrɪptʃə(r)/,经文，圣典,The scholar spent decades translating ancient scriptures.,历史、社会与政治
1064,sculpture,n.,/ˈskʌlptʃə(r)/,雕刻，雕塑,A beautiful stone sculpture stands at the campus entrance.,文学、艺术与娱乐
1065,sea,n.,/siː/,海，海洋,The cargo ships travel across the East China Sea.,旅游、交通与综合高频
1066,seal,n./v.,/siːl/,海豹；封条；密封,Remember to seal the plastic case to protect the oscillator.,科技、网络与现代生活
1067,seaman,n.,/ˈsiːmən/,海员，水手,The veteran seaman spent his entire career on big vessels.,旅游、交通与综合高频
1068,search,v./n.,/sɜːtʃ/,搜索；搜寻,You can search for deep learning courses online.,科技、网络与现代生活
1069,season,n.,/ˈsiːzn/,季节,Autumn is the best season to visit West Lake.,旅游、交通与综合高频
1070,seat,n./v.,/siːt/,座位；使坐下,Please take a seat and check the geometry question.,学校生活与教育
1071,second,num./n./v.,/ˈsekənd/,第二；秒；赞成,The automated script finished validation in one second.,科技、网络与现代生活
1072,secondary,adj.,/ˈsekəndri/,次要的；中等的,He is preparing hard for the secondary school exam.,学校生活与教育
1073,secondly,adv.,/ˈsekəndli/,第二，其次,"Secondly, we must check if the motor bolts are tight.",科技、网络与现代生活
1074,secret,n./adj.,/ˈsiːkrət/,秘密；保密的,Keep the database security configuration a secret.,科技、网络与现代生活
1075,secretary,n.,/ˈsekrətri/,秘书；书记,The manager instructed his secretary to file the logs.,职场、工作与生涯规划
1076,section,n.,/ˈsekʃn/,部分；部门；截面,The 3GPP document explains this process in section four.,科技、网络与现代生活
1077,sector,n.,/ˈsektə(r)/,部门；领域；扇形,Industrial capital is flowing into the local chip sector.,经济、商务与财政
1078,secure,adj./v.,/sɪˈkjuə(r)/,安全的；安全的得到,The network architect designed a secure payment gateway.,科技、网络与现代生活
1079,security,n.,/sɪˈkjuərəti/,安全；保障,The firm enhancement system ensures data security.,科技、网络与现代生活
1080,see,v.,/siː/,看见；领会；理解,I see what you mean by rewriting the script from scratch.,科技、网络与现代生活
1081,seed,n./v.,/siːd/,种子；播种,The random seed is fixed to ensure training consistency.,科技、网络与现代生活
1082,seek,v.,/siːk/,寻找；寻求,They seek external funding for the automation tool.,经济、商务与财政
1083,seem,v.,/siːm/,似乎，好像,The hardware failure seems to stem from the crystal.,科技、网络与现代生活
1084,seize,v.,/siːz/,抓住；夺取,You must seize every opportunity to learn AI.,学校生活与教育
1085,seldom,adv.,/ˈseldəm/,很少，不常,He seldom encounters such a rare software anomaly.,科技、网络与现代生活
1086,select,v./adj.,/sɪˈlekt/,选择；精选的,Select the target file path inside the Python framework.,科技、网络与现代生活
1087,selection,n.,/sɪˈlekʃn/,选择；选集,The platform provides a wide selection of tools.,科技、网络与现代生活
1088,self,n.,/self/,自己，自身,Self-confidence is crucial for a technical expert.,个人情况与情感
1089,selfish,adj.,/ˈselfɪʃ/,自私的,Don't be selfish; share your testing logs with the team.,人际关系与社交
1090,sell,v.,/sel/,卖，出售,The semiconductor company plans to sell its new compute chips.,科技、网络与现代生活
1091,semester,n.,/sɪˈmestə(r)/,学期,He achieved excellent math scores this semester.,学校生活与教育
1092,semi-conductor,n.,/ˌsemikənˈdʌktə(r)/,半导体,Hangzhou is home to several expanding semiconductor firms.,科技、网络与现代生活
1093,seminar,n.,/ˈsemɪnɑː(r)/,研讨会,He attended an academic seminar on RAG architecture.,学校生活与教育
1094,senate,n.,/ˈsenət/,参议院,The senate approved the bill on high-tech development.,历史、社会与政治
1095,send,v.,/send/,发送；派遣,The router will send data packets to the terminal.,科技、网络与现代生活
1096,senior,adj./n.,/ˈsiːniə(r)/,高级的；年长的；资深人士,He is a senior technical expert with over twenty years of experience.,职场、工作与生涯规划
1097,sense,n./v.,/sens/,感官；观念；感知,The automation system can sense subtle voltage changes.,科技、网络与现代生活
1098,sensible,adj.,/ˈsensəbl/,明智的；可感觉到的,It is a sensible decision to optimize the Room database.,科技、网络与现代生活
1099,sensitive,adj.,/ˈsensətɪv/,敏感的；灵敏的,The receiver module is highly sensitive to signal noise.,科技、网络与现代生活
1100,sentence,n./v.,/ˈsentəns/,句子；宣判,Please translate this English sentence in the text.,学校生活与教育
1101,separate,adj./v.,/ˈseprət/ /ˈsepəreɪt/,独立的；分离,Store the raw log files into a separate folder.,科技、网络与现代生活
1102,separately,adv.,/ˈseprətli/,分离地；个别地,The two database modules should be compiled separately.,科技、网络与现代生活
1103,separation,n.,/ˌsepəˈreɪʃn/,分离；隔离,Keep clear separation between frontend and backend.,科技、网络与现代生活
1104,September,n.,/sepˈtembə(r)/,九月,The new high school term begins in September.,学校生活与教育
1105,sequence,n./v.,/ˈsiːkwəns/,序列；顺序,The script runs the test cases in a strict sequence.,科技、网络与现代生活
1106,series,n.,/ˈsɪəriːz/,系列；连续,The chip went through a series of physical layer processing tests.,科技、网络与现代生活
1107,serious,adj.,/ˈsɪəriəs/,严肃的；严重的,Data corruption is a serious bug in telecom platforms.,科技、网络与现代生活
1108,seriously,adv.,/ˈsɪəriəsli/,严肃地；严重地,He seriously evaluated the cost of family relocation.,职场、工作与生涯规划
1109,servant,n.,/ˈsɜːvənt/,仆人；公务员,The housekeeping system manages professional servants.,人际关系与社交
1110,serve,v.,/sɜːv/,服务；服役；适用,The new interface serves as a data validation portal.,科技、网络与现代生活
1111,service,n./v.,/ˈsɜːvɪs/,服务；公共设施,The WeChat Mini-Program provides direct booking services.,科技、网络与现代生活
1112,session,n.,/ˈseʃn/,会议；开庭；会期；阶段,The server dropped the current user database session.,科技、网络与现代生活
1113,set,v./n./adj.,/set/,安置；设置；集合；固定的,We need to set the random seed in the Python config.,科技、网络与现代生活
1114,setting,n.,/ˈsetɪŋ/,背景；环境；安装,Open the application dashboard to modify settings.,科技、网络与现代生活
1115,settle,v.,/ˈsetl/,解决；定居；安顿,They decided to settle down and reject the international offer.,职场、工作与生涯规划
1116,settlement,n.,/ˈsetlmənt/,解决；定居点；结算,The firm reached a peaceful financial settlement.,经济、商务与财政
1117,seven,num.,/ˈsevn/,七,The chess set includes seven types of pieces.,文学、艺术与娱乐
1118,seventeen,num.,/ˌsevnˈtiːn/,十七,He won his first chess match at seventeen.,文学、艺术与娱乐
1119,seventh,num.,/ˈsevnθ/,第七,This is the seventh version of the software patch.,科技、网络与现代生活
1120,seventy,num.,/ˈsevnti/,七十,Nearly seventy percent of the test cases passed.,科技、网络与现代生活
1121,several,adj./pron.,/ˈsevrəl/,几个，若干,He fixed several hardware defects on the board.,科技、网络与现代生活
1122,severe,adj.,/sɪˈvɪə(r)/,严重的；严厉的,The machine motor suffered severe friction damage.,科技、网络与现代生活
1123,sew,v.,/səʊ/,缝制，缝补,She knows how to sew a broken coat button.,人际关系与社交
1124,sex,n.,/seks/,性别；性,Please filter the demographic data by age and sex.,科技、网络与现代生活
1125,shade,n./v.,/ʃeɪd/,荫凉处；暗部；遮蔽,We sat under the shade of trees near West Lake.,旅游、交通与综合高频
1126,shadow,n./v.,/ˈʃædəʊ/,影子；阴影,The tall antenna cast a long shadow on the ground.,科技、网络与现代生活
1127,shake,v./n.,/ʃeɪk/,摇动；颤抖；握手,The motor pillar started to shake at high speeds.,科技、网络与现代生活
1128,shall,v.,/ʃæl/,将要；应该,We shall finalize the system deployment by Friday.,科技、网络与现代生活
1129,shallow,adj.,/ˈʃæləʊ/,浅的；肤浅的,The water near the lake bank is quite shallow.,旅游、交通与综合高频
1130,shame,n./v.,/ʃeɪm/,羞耻；遗憾,It is a shame to lose data due to lazy saving.,科技、网络与现代生活
1131,shape,n./v.,/ʃeɪp/,形状；外形；形成,The Apollonius circle defines a specific geometric shape.,学校生活与教育
1132,share,v./n.,/ʃeə(r)/,分享；分担；股份,He configured the file system to share test reports.,科技、网络与现代生活
1133,shark,n.,/ʃɑːk/,鲨鱼,Wild sharks roam the deep ocean water.,自然、环境与航天
1134,sharp,adj./adv.,/ʃɑːp/,锋利的；敏锐的；准时地,The team will meet at nine o'clock sharp.,职场、工作与生涯规划
1135,shatter,v.,/ˈʃætə(r)/,粉碎，砸碎,The drop test did not shatter the robust chip casing.,科技、网络与现代生活
