序号,单词,词性,音标,中文意思,简易英文例句,主题
199,bright,adj.,/braɪt/,明亮的；聪明的,The bright sunshine came through the window.,自然、环境与航天
200,brilliant,adj.,/ˈbrɪliənt/,辉煌的；卓越的,He made a brilliant performance on the stage.,文学、艺术与娱乐
201,bring,v.,/brɪŋ/,带来；拿来,Don't forget to bring your dictionary tomorrow.,学校生活与教育
202,Britain,n.,/ˈbrɪtn/,英国；大不列颠,He has lived in Britain for over five years.,旅游、交通与综合高频
203,British,adj./n.,/ˈbrɪtɪʃ/,英国的；英国人,They enjoy traditional British tea and cakes.,人际关系与社交
204,broad,adj.,/brɔːd/,宽的，宽广的,The river is very broad at this specific point.,自然、环境与航天
205,broadcast,v./n.,/ˈbrɔːdkɑːst/,广播；播放,The football match will be broadcast live.,科技、网络与现代生活
206,broken,adj.,/ˈbrəʊkən/,弄碎的；坏了的,The boy accidentally broke the window glass.,旅游、交通与综合高频
207,broom,n.,/bruːm/,扫帚,Please use the broom to clean the classroom.,学校生活与教育
208,brother,n.,/ˈbrʌðə(r)/,兄；弟,My elder brother works as a software engineer.,人际关系与社交
209,brown,n./adj.,/braʊn/,褐色；褐色的,He wears a pair of comfortable brown shoes.,人际关系与社交
210,brush,v./n.,/brʌʃ/,刷；画笔；刷子,You should brush your teeth twice a day.,饮食、健康与运动
211,bucket,n.,/ˈbʌkɪt/,水桶,He filled the wooden bucket with fresh water.,自然、环境与航天
212,budget,n.,/ˈbʌdʒɪt/,预算,We must strictly stick to our monthly budget.,经济、商务与财政
213,buffet,n.,/ˈbʌfeɪ/,自助餐,They served a grand buffet at the wedding.,人际关系与社交
214,build,v.,/bɪld/,建筑；造；建立,They plan to build a new library in school.,学校生活与教育
215,building,n.,/ˈbɪldɪŋ/,建筑物；大楼,The historic building was built a century ago.,历史、社会与政治
216,bunch,n.,/bʌntʃ/,串，束,He bought a large bunch of red grapes today.,饮食、健康与运动
217,bungalow,n.,/ˈbʌŋɡələʊ/,平房,They live in a beautiful single-story bungalow.,空间定位与方向
218,burden,n./v.,/ˈbɜːdn/,负担；重担,The heavy tax is a financial burden to them.,经济、商务与财政
219,bureaucracy,n.,/bjuəˈrɒkrəsi/,官僚主义；官僚机构,The project was delayed by complex bureaucracy.,历史、社会与政治
220,burglar,n.,/ˈbɜːɡlə(r)/,夜盗，窃贼,The burglar broke into the office last night.,历史、社会与政治
221,burial,n.,/ˈberiəl/,埋葬；葬礼,The ancient burial site was recently discovered.,历史、社会与政治
222,burn,v.,/bɜːn/,燃烧；烧焦；烫伤,Wood burns easily when it is completely dry.,自然、环境与航天
223,burst,v./n.,/bɜːst/,爆炸；爆裂；猛冲,The balloon burst with a sudden loud noise.,文学、艺术与娱乐
224,bury,v.,/ˈberi/,埋葬；掩埋,The pirate buried his gold treasure on an island.,文学、艺术与娱乐
