序号,单词,词性,音标,中文意思,简易英文例句,主题
1846,weather,n./v.,/ˈweðə(r)/,天气；经受住,The weather affects the signal.,自然、环境与航天
1847,weave,v.,/wiːv/,编织,The spider weaves a web.,自然、环境与航天
1848,web,n.,/web/,网络；网,The web server is online.,科技、网络与现代生活
1849,website,n.,/ˈwebsaɪt/,网站,Visit our official website.,科技、网络与现代生活
1850,wed,v.,/wed/,结婚,They wed last year.,人际关系与社交
1851,wedding,n.,/ˈwedɪŋ/,婚礼,The wedding ceremony was nice.,生活、饮食与健康
1852,wedge,n./v.,/wedʒ/,楔子；塞入,Use a wedge to fix the door.,科技、网络与现代生活
1853,Wednesday,n.,/ˈwenzdeɪ/,星期三,The meeting is on Wednesday.,生活、饮食与健康
1854,weed,n./v.,/wiːd/,杂草；除草,Weed the garden regularly.,自然、环境与航天
1855,week,n.,/wiːk/,星期,The project takes a week.,生活、饮食与健康
1856,weekday,n.,/ˈwiːkdeɪ/,工作日,Work on a weekday.,职场、工作与生涯规划
1857,weekend,n.,/ˌwiːkˈend/,周末,Take a rest on the weekend.,生活、饮食与健康
1858,weekly,adj./adv.,/ˈwiːkli/,每周的,Check the weekly logs.,科技、网络与现代生活
1859,weep,v.,/wiːp/,哭泣,She wept for joy.,个人情况与情感
1860,weigh,v.,/weɪ/,称重；权衡,Weigh the components carefully.,科技、网络与现代生活
1861,weight,n.,/weɪt/,重量,The weight limit is 5kg.,科技、网络与现代生活
1862,weightless,adj.,/ˈweɪtləs/,失重的,Objects are weightless in space.,自然、环境与航天
1863,weird,adj.,/wɪəd/,怪异的,The log file looks weird.,科技、网络与现代生活
1864,welcome,v./adj.,/ˈwelkəm/,欢迎,Welcome to the new lab.,人际关系与社交
1865,well,adv./adj./n.,/wel/,好地；健康的；井,The system performs well.,生活、饮食与健康
1866,well-being,n.,/ˈwel biːɪŋ/,幸福；安康,Ensure employee well-being.,生活、饮食与健康
1867,well-known,adj.,/ˌwel ˈnəʊn/,出名的,It is a well-known bug.,职场、工作与生涯规划
1868,west,n./adj.,/west/,西,The wind blows from the west.,自然、环境与航天
1869,western,adj.,/ˈwestən/,西方的,Western software standards.,历史、社会与政治
1870,wet,adj./v.,/wet/,潮湿的,The floor is wet.,自然、环境与航天
1871,whale,n.,/weɪl/,鲸,Whales live in the ocean.,自然、环境与航天
1872,what,pron./adj.,/wɒt/,什么,What is the error code?,科技、网络与现代生活
1873,whatever,pron./adj.,/wɒtˈevə(r)/,无论什么,Do whatever is necessary.,语言、逻辑与哲学
1874,wheat,n.,/wiːt/,小麦,Wheat grows on the farm.,自然、环境与航天
1875,wheel,n.,/wiːl/,轮子,The wheel is broken.,旅游、交通与综合高频
1876,when,adv./conj.,/wen/,什么时候；当…时,When will it finish?,科技、网络与现代生活
1877,whenever,conj.,/wenˈevə(r)/,无论何时,Whenever you are ready.,语言、逻辑与哲学
1878,where,adv./conj.,/weə(r)/,在哪里,Where is the log file?,科技、网络与现代生活
1879,whereas,conj.,/ˌweərˈæz/,然而,"The data is valid, whereas logs are not.",语言、逻辑与哲学
1880,wherever,adv./conj.,/weərˈevə(r)/,无论哪里,Go wherever you want.,语言、逻辑与哲学
1881,whether,conj.,/ˈweðə(r)/,是否,Check whether it works.,科技、网络与现代生活
1882,which,pron./adj.,/wɪtʃ/,哪一个,Which file is the latest?,科技、网络与现代生活
