序号,单词,词性,音标,中文意思,简易英文例句,主题
403,definition,n.,/ˌdefɪˈnɪʃn/,定义；清晰度,Please check the definition of this physics term.,学校生活与教育
404,degree,n.,/dɪˈɡriː/,程度；度数；学位,The temperature dropped by five degrees tonight.,自然、环境与航天
405,delay,v./n.,/dɪˈleɪ/,推迟；耽误,The heavy fog delayed the school bus for an hour.,旅游、交通与综合高频
406,delete,v.,/dɪˈliːt/,删除,You can delete the useless files from database.,科技、网络与现代生活
407,deliberate,adj.,/dɪˈlɪbərət/,故意的；深思熟虑的,It was a deliberate choice to study architecture.,学校生活与教育
408,delicate,adj.,/ˈdelɪkət/,微妙的；精美的；易碎的,The electronic repair requires delicate skills.,科技、网络与现代生活
409,delicious,adj.,/dɪˈlɪʃəs/,美味的,My mother cooked a delicious dinner for us.,饮食、健康与运动
410,delight,n./v.,/dɪˈlaɪt/,快乐；使高兴,"To our great delight, our team won the game.",个人情况与情感
411,deliver,v.,/dɪˈlɪvə(r)/,投递；发表(演讲),The courier will deliver the package tomorrow.,旅游、交通与综合高频
412,delivery,n.,/dɪˈlɪvəri/,投递；交付,The local airport ensures fast cargo delivery.,旅游、交通与综合高频
413,demand,n./v.,/dɪˈmɑːnd/,要求；需求,There is a huge demand for advanced AI chips.,经济、商务与财政
414,democracy,n.,/dɪˈmɒkrəsi/,民主,The country has a long tradition of democracy.,历史、社会与政治
415,democratic,adj.,/ˌdeməˈkrætɪk/,民主的,They held a democratic vote to select the captain.,学校生活与教育
416,demonstrate,v.,/ˈdemənstreɪt/,证明；论证；展示,He demonstrated how to replace the machine motor.,科技、网络与现代生活
417,denial,n.,/dɪˈnaɪəl/,否认；拒绝,The official issued a flat denial of the rumor.,历史、社会与政治
418,dentist,n.,/ˈdentɪst/,牙科医生,I go to the dentist regularly to check my teeth.,饮食、健康与运动
419,deny,v.,/dɪˈnaɪ/,否认；拒绝,He didn't deny that he made a careless mistake.,语言、逻辑与哲学
420,depart,v.,/dɪˈpɑːt/,离开；起程,The train to Paris will depart from platform 4.,旅游、交通与综合高频
421,department,n.,/dɪˈpɑːtmənt/,部门；系,He is the manager of the software department.,职场、工作与生涯规划
422,departure,n.,/dɪˈpɑːtʃə(r)/,离开；起程,Please check the flight departure time on screen.,旅游、交通与综合高频
