序号,单词,词性,音标,中文意思,简易英文例句,主题
1209,singer,n.,/ˈsɪŋə(r)/,歌手,The famous singer performed at the concert.,文学、艺术与娱乐
1210,single,adj./n.,/ˈsɪŋɡl/,单一的；单身的,The software is a single-threaded process.,科技、网络与现代生活
1211,sink,v./n.,/sɪŋk/,下沉；水槽,The heavy metal part began to sink into the water.,自然、环境与航天
1212,sir,n.,/sɜː(r)/,先生；阁下,"Sir, the system database backup is complete.",人际关系与社交
1213,sister,n.,/ˈsɪstə(r)/,姐妹,His sister is an expert in data visualization.,人际关系与社交
1214,sit,v.,/sɪt/,坐,Please sit down and review the design document.,生活、饮食与健康
1215,site,n.,/saɪt/,地点；网站,The factory site is located in the industrial park.,科技、网络与现代生活
1216,situation,n.,/ˌsɪtʃuˈeɪʃn/,情况；局势,The current situation requires an urgent code fix.,科技、网络与现代生活
1217,six,num.,/sɪks/,六,The project team consists of six members.,学校生活与教育
1218,sixteen,num.,/ˌsɪkˈstiːn/,十六,He joined the lab at sixteen years old.,学校生活与教育
1219,sixth,num.,/sɪksθ/,第六,This is the sixth successful chip deployment.,科技、网络与现代生活
1220,sixty,num.,/ˈsɪksti/,六十,The machine produces sixty units per hour.,科技、网络与现代生活
1221,size,n.,/saɪz/,大小；尺寸,Adjust the window size to fit the monitor screen.,科技、网络与现代生活
1222,skill,n.,/skɪl/,技能；技巧,Technical debugging is an essential skill for engineers.,职场、工作与生涯规划
1223,skilled,adj.,/skɪld/,熟练的,He is a skilled operator of the CNC machine.,职场、工作与生涯规划
1224,skillful,adj.,/ˈskɪlfl/,灵巧的，熟练的,His skillful handling of the drill prevented damage.,职场、工作与生涯规划
1225,skin,n.,/skɪn/,皮肤,The new sensor can measure skin temperature.,生活、饮食与健康
1226,skip,v./n.,/skɪp/,跳过；略过,The system will skip the faulty log entry.,科技、网络与现代生活
1227,skirt,n.,/skɜːt/,裙子,She wore a long skirt to the ceremony.,生活、饮食与健康
1228,sky,n.,/skaɪ/,天，天空,The satellite orbits high in the dark night sky.,自然、环境与航天
1229,slap,v./n.,/slæp/,掌击；拍击,He slapped the table in frustration at the bug.,人际关系与社交
1230,slave,n.,/sleɪv/,奴隶,"In ancient history, slaves built huge stone temples.",历史、社会与政治
1231,sleep,v./n.,/sliːp/,睡觉,You need enough sleep to stay focused at work.,生活、饮食与健康
1232,sleeve,n.,/sliːv/,袖子,He rolled up his sleeves to start the repairs.,生活、饮食与健康
1233,slender,adj.,/ˈslendə(r)/,修长的；细长的,The antenna has a slender metallic structure.,自然、环境与航天
1234,slice,n./v.,/slaɪs/,薄片；切片,He cut a thin slice of bread for his sandwich.,生活、饮食与健康
1235,slide,v./n.,/slaɪd/,滑行；幻灯片,The data points slide along the chart axis.,科技、网络与现代生活
1236,slight,adj.,/slaɪt/,轻微的；纤细的,There is a slight difference in the sensor output.,科技、网络与现代生活
1237,slightly,adv.,/ˈslaɪtli/,稍微，略微,The motor speed is slightly higher than planned.,科技、网络与现代生活
1238,slim,adj.,/slɪm/,苗条的；微小的,The chance of hardware failure is slim.,生活、饮食与健康
1239,slip,v./n.,/slɪp/,滑倒；溜走；失误,Be careful not to slip on the oily floor.,职场、工作与生涯规划
1240,slipper,n.,/ˈslɪpə(r)/,拖鞋,Put on your slippers when you enter the lab.,生活、饮食与健康
1241,slope,n./v.,/sləʊp/,斜坡；倾斜,The mountain slope is too steep for the vehicle.,自然、环境与航天
1242,slow,adj./v.,/sləʊ/,慢的；减慢,The process is slow due to excessive logging.,科技、网络与现代生活
1243,slowly,adv.,/ˈsləʊli/,缓慢地,The crane moved the heavy parts slowly.,科技、网络与现代生活
1244,small,adj.,/smɔːl/,小的,The small micro-controller manages core tasks.,科技、网络与现代生活
1245,smart,adj.,/smɑːt/,聪明的；灵巧的,The smart grid optimizes electricity distribution.,科技、网络与现代生活
1246,smash,v./n.,/smæʃ/,粉碎；猛击,The impact smashed the glass display panel.,科技、网络与现代生活
1247,smell,v./n.,/smel/,闻；气味,I smell something burning near the motor.,自然、环境与航天
1248,smile,v./n.,/smaɪl/,微笑,The project manager gave a satisfied smile.,人际关系与社交
1249,smog,n.,/smɒɡ/,烟雾,Heavy smog is harmful to the respiratory system.,自然、环境与航天
1250,smoke,n./v.,/sməʊk/,烟；抽烟,Smoke indicates an electrical short circuit.,科技、网络与现代生活
1251,smooth,adj./v.,/smuːð/,平滑的；使顺利,The software deployment went very smooth today.,科技、网络与现代生活
1252,smoothly,adv.,/ˈsmuːðli/,顺利地；平滑地,The robot arm moves smoothly along the track.,科技、网络与现代生活
1253,snake,n.,/sneɪk/,蛇,We saw a small snake in the mountain forest.,自然、环境与航天
1254,snatch,v.,/snætʃ/,强夺，攫取,He snatched the folder from the desk.,个人情况与情感
1255,snow,n./v.,/snəʊ/,雪；下雪,Heavy snow covered the laboratory roof.,自然、环境与航天
1256,snowstorm,n.,/ˈsnəʊstɔːm/,暴风雪,The snowstorm delayed the shipping schedule.,自然、环境与航天
1257,so,adv./conj.,/səʊ/,那么；因此,"It was late, so he decided to quit for now.",科技、网络与现代生活
1258,soak,v.,/səʊk/,浸泡；渗透,Soak the dirty metal parts in the cleaning fluid.,科技、网络与现代生活
1259,soap,n.,/səʊp/,肥皂,Use mild soap to clean the laboratory tools.,生活、饮食与健康
1260,soar,v.,/sɔː(r)/,猛增；高飞,The demand for AI chips is likely to soar.,经济、商务与财政
1261,sob,v./n.,/sɒb/,啜泣，呜咽,The little girl sobbed after losing her toy.,个人情况与情感
1262,sober,adj.,/ˈsəʊbə(r)/,清醒的；严肃的,You need a sober mind to perform safety checks.,职场、工作与生涯规划
1263,soccer,n.,/ˈsɒkə(r)/,足球,The team played a soccer match on Sunday.,生活、饮食与健康
1264,social,adj.,/ˈsəʊʃl/,社会的；社交的,He is working on social networking analytics.,科技、网络与现代生活
