序号,单词,词性,音标,中文意思,简易英文例句,主题
990,reaction,n.,/riˈækʃn/,反应；反作用,The chemical reaction produces a clean gas.,自然、环境与航天
991,read,v.,/riːd/,读；阅读,He loves to read technical standard documents.,科技、网络与现代生活
992,reader,n.,/ˈriːdə(r)/,读者；读本,The file reader can parse the CSV data easily.,科技、网络与现代生活
993,readily,adv.,/ˈredɪli/,乐意地；容易地,The system logs are readily available on disk.,科技、网络与现代生活
994,reading,n.,/ˈriːdɪŋ/,阅读；读数,Check the temperature reading on the gauge.,科技、网络与现代生活
995,ready,adj.,/ˈredi/,准备好的,The script is ready for automation execution.,科技、网络与现代生活
996,real,adj.,/ˈriːəl/,真的；真实的,We need to solve a real hardware issue today.,科技、网络与现代生活
997,reality,n.,/riˈæləti/,现实；真实,"In reality, the project budget is quite limited.",经济、商务与财政
998,realize,v.,/ˈriːəlaɪz/,认识到；实现,He realized the importance of code safety.,科技、网络与现代生活
999,really,adv.,/ˈriːəli/,真正地；确实,The deep learning math is really fascinating.,学校生活与教育
1000,rear,n./adj.,/rɪə(r)/,后部；后面的,The motor is fixed at the rear part of chassis.,科技、网络与现代生活
1001,reason,n./v.,/ˈriːzn/,原因；理性；推论,What is the reason for the network timeout?,科技、网络与现代生活
1002,reasonable,adj.,/ˈriːznəbl/,合理的；公道的,The relocation offer has a reasonable salary.,职场、工作与生涯规划
1003,rebel,n./v.,/ˈrebl/ /rɪˈbel/,反叛者；反叛,The historical army fought against the rebel.,历史、社会与政治
1004,recall,v.,/rɪˈkɔːl/,回想起；撤销,I can recall the geometric formula clearly.,学校生活与教育
1005,receipt,n.,/rɪˈsiːt/,收据；收到,Please keep the payment receipt for reference.,经济、商务与财政
1006,receive,v.,/rɪˈsiːv/,收到；受到,The node will receive the radio signal packet.,科技、网络与现代生活
1007,receiver,n.,/rɪˈsiːvə(r)/,接收器；接收者,The wireless receiver processes 5G signals.,科技、网络与现代生活
1008,recent,adj.,/ˈriːsnt/,最近的，近来的,The recent software update resolved the bug.,科技、网络与现代生活
1009,recently,adv.,/ˈriːsntli/,最近，近来,The firm recently recruited a senior expert.,职场、工作与生涯规划
1010,safe,adj./n.,/seɪf/,安全的；保险箱,Keep the database password inside a safe place.,科技、网络与现代生活
1011,safeguard,v./n.,/ˈseɪfɡɑːd/,保护；安全装置,We must safeguard our system from data loss.,科技、网络与现代生活
1012,safety,n.,/ˈseɪfti/,安全；保险,The automation system improves factory safety.,科技、网络与现代生活
1013,sail,n./v.,/seɪl/,帆；航行,They plan to sail across the quiet lake.,旅游、交通与综合高频
1014,sailor,n.,/ˈseɪlə(r)/,海员，水手,The experienced sailor guided the cargo ship.,旅游、交通与综合高频
1015,salad,n.,/ˈsæləd/,色拉,She prepared a fresh vegetable salad for dinner.,饮食、健康与运动
1016,salary,n.,/ˈsæləri/,薪水,The manager negotiated a competitive salary package.,职场、工作与生涯规划
1017,sale,n.,/seɪl/,出售；廉价销售,The chip firm recorded huge sales last quarter.,经济、商务与财政
1018,salesman,n.,/ˈseɪlzmən/,售货员，推销员,The salesman introduced the features of the car.,人际关系与社交
1019,salt,n./v.,/sɔːlt/,盐；加盐于,Add a spoonful of salt into the cooking pan.,饮食、健康与运动
1020,salty,adj.,/ˈsɔːlti/,咸的,The soup tastes a bit too salty for me.,饮食、健康与运动
1021,salute,v./n.,/səˈluːt/,敬礼；致敬,The soldiers saluted the national flag proudly.,历史、社会与政治
1022,same,adj./pron.,/seɪm/,相同的,The two micro chips use the same architecture.,科技、网络与现代生活
1023,sample,n./v.,/ˈsɑːmpl/,样品；抽样检查,The script will collect a sample of data logs.,科技、网络与现代生活
1024,sand,n./v.,/sænd/,沙；沙滩,Silicon inside chips is derived from pure sand.,科技、网络与现代生活
1025,sandwich,n.,/ˈsænwɪtʃ/,三明治,He grabbed a quick sandwich before the exam.,学校生活与教育
1026,satellite,n.,/ˈsætəlaɪt/,卫星,The device receives remote satellite signals.,科技、网络与现代生活
1027,satisfaction,n.,/ˌsætɪsˈfækʃn/,满意；满足,Customer satisfaction is our ultimate goal.,经济、商务与财政
1028,satisfactory,adj.,/ˌsætɪsˈfæktəri/,令人满意的,The chip test results are highly satisfactory.,科技、网络与现代生活
1029,satisfy,v.,/ˈsætɪsfaɪ/,满足；使满意,The design must satisfy 3GPP requirements.,科技、网络与现代生活
1030,sauce,n.,/sɔːs/,酱汁，调味汁,He poured some tomato sauce on the hamburger.,饮食、健康与运动
1031,saucer,n.,/ˈsɔːsə(r)/,茶托，小碟子,She placed the coffee cup on a small saucer.,饮食、健康与运动
1032,sausage,n.,/ˈsɒsɪdʒ/,香肠,He fried some beef sausages for breakfast.,饮食、健康与运动
1033,save,v./prep.,/seɪv/,救；储蓄；保存；除了,Remember to save the CSV file before quitting.,科技、网络与现代生活
1034,savings,n.,/ˈseɪvɪŋz/,储蓄，存款,He invested his family savings into the chip market.,经济、商务与财政
1035,say,v.,/seɪ/,说；说明,The technical manual says the motor is 12V.,科技、网络与现代生活
1036,scale,n./v.,/skeɪl/,刻度；规模；天平；攀登,The platform can scale up to handle massive tasks.,科技、网络与现代生活
1037,scan,v./n.,/skæn/,扫描；浏览,The script will scan the file path for errors.,科技、网络与现代生活
1038,scarf,n.,/skɑːf/,围巾,She wore a red wool scarf in cold January.,时间概念与序列
1039,scatter,v.,/ˈskætə(r)/,散开；驱散；散射,Wireless waves scatter when they hit walls.,科技、网络与现代生活
1040,scene,n.,/siːn/,舞台；场景；风景,The error occurred at the layout drawing scene.,科技、网络与现代生活
1041,scenery,n.,/ˈsiːnəri/,风景，景色,They enjoyed the beautiful scenery of West Lake.,旅游、交通与综合高频
1042,scent,n./v.,/sent/,气味；香味,The sweet scent of flowers filled the whole garden.,自然、环境与航天
1043,schedule,n./v.,/ˈʃedjuːl/,时间表；计划,The development schedule is strictly defined.,职场、工作与生涯规划
1044,scheme,n./v.,/skiːm/,计划；方案；阴谋,The firm designed a new stock options scheme.,经济、商务与财政
1045,scholar,n.,/ˈskɒlə(r)/,学者,The famous scholar lectured on deep learning.,学校生活与教育
1046,scholarship,n.,/ˈʃɒləʃɪp/,奖学金,He won a full scholarship to study automation.,学校生活与教育
1047,school,n./v.,/skuːl/,学校；学派,The middle school entrance exam ended smoothly.,学校生活与教育
1048,science,n.,/ˈsaɪəns/,科学；学科,Computer science is a highly dynamic field.,科技、网络与现代生活
1049,scientific,adj.,/ˌsaɪənˈtɪfɪk/,科学的,The team found a scientific solution to the issue.,科技、网络与现代生活
1050,scientist,n.,/ˈsaɪəntɪst/,科学家,The research scientist optimized the AI chip.,科技、网络与现代生活
1051,scissors,n.,/ˈsɪzəz/,剪刀,Use a pair of sharp scissors to cut the cable.,科技、网络与现代生活
1052,scold,v.,/skəʊld/,责骂，训斥,The teacher scolded him for his careless math error.,学校生活与教育
1053,scope,n.,/skəʊp/,范围；余地；眼界,This technical issue is out of our project scope.,科技、网络与现代生活
1054,score,n./v.,/skɔː(r)/,得分；二十,He received a perfect score in the geometry quiz.,学校生活与教育
1055,scorn,n./v.,/skɔːn/,轻蔑，鄙视,An engineer should not scorn minor error logs.,科技、网络与现代生活
1056,scout,n./v.,/skaʊt/,侦察员；侦察,The tactical scout searched the deep jungle path.,自然、环境与航天
1057,scrape,v./n.,/skreɪp/,刮；擦伤,Be careful not to scrape the chip surface.,科技、网络与现代生活
1058,scratch,v./n.,/skrætʃ/,抓；划痕；从零开始,We had to rewrite the automation script from scratch.,科技、网络与现代生活
1059,scream,v./n.,/skriːm/,尖叫,He gave a loud scream when the motor sparked.,科技、网络与现代生活
1060,screen,n./v.,/skriːn/,屏幕；屏蔽；筛选,The debug logs are displayed clearly on the screen.,科技、网络与现代生活
1061,screw,n./v.,/skruː/,螺丝；拧紧,Use a suitable screwdriver to fix the loose screw.,科技、网络与现代生活
1062,script,n./v.,/skrɪpt/,剧本；脚本,The Python script automates the validation test.,科技、网络与现代生活
