序号,单词,词性,音标,中文意思,简易英文例句,主题
834,neglect,v./n.,/nɪˈɡlekt/,忽视；疏忽,You should not neglect these warning code logs.,科技、网络与现代生活
835,negotiate,v.,/nɪˈɡəʊʃieɪt/,谈判；协商,They are ready to negotiate the relocation package.,职场、工作与生涯规划
836,negotiation,n.,/nɪˌɡəʊʃiˈeɪʃn/,谈判；协商,The contract negotiation lasted for three weeks.,经济、商务与财政
837,neighbor,n.,/ˈneɪbə(r)/,邻居,My neighbor helped me move the heavy washing machine.,人际关系与社交
838,neighborhood,n.,/ˈneɪbəhʊd/,四邻；邻近地区,There is a high school in our neighborhood.,学校生活与教育
839,neither,pron./adj./conj.,/ˈnaɪðə(r)/,两者都不,Neither technical solution is completely perfect.,科技、网络与现代生活
840,nephew,n.,/ˈnefjuː/,侄子，外甥,His nephew is learning international chess openings.,学校生活与教育
841,nervous,adj.,/ˈnɜːvəs/,紧张的；神经的,Don't feel nervous about the geometry exam.,学校生活与教育
842,nest,n./v.,/nest/,鸟巢；筑巢,The wild eagle built a nest on the cliff.,自然、环境与航天
843,net,n./adj.,/net/,网；净得的,The 5G data network speed is extremely fast.,科技、网络与现代生活
844,network,n./v.,/ˈnetwɜːk/,网络；建立联系,The telecom expert configured the core network.,科技、网络与现代生活
845,neutral,adj./n.,/ˈnjuːtrəl/,中立的；空挡,The country remained neutral during the big war.,历史、社会与政治
846,never,adv.,/ˈnevə(r)/,决不，从未,Never abandon your dream of studying AI.,学校生活与教育
847,new,adj.,/njuː/,新的,They deployed a new version of the app.,科技、网络与现代生活
848,newly,adv.,/ˈnjuːli/,新近，最近,This newly developed chip consumes less power.,科技、网络与现代生活
849,news,n.,/njuːz/,新闻；消息,The channel broadcast the latest industry news.,文学、艺术与娱乐
850,newspaper,n.,/ˈnjuːzpeɪpə(r)/,报纸,He reads a newspaper over breakfast every morning.,人际关系与社交
851,next,adj./adv./n.,/nekst/,紧接的；下次；其次,The next section explains the Apollonius circle.,学校生活与教育
852,nice,adj.,/naɪs/,好的；令人愉快的,It is nice to walk around West Lake in June.,旅游、交通与综合高频
853,niece,n.,/niːs/,侄女，外甥女,His niece plays chess with great tactical skills.,学校生活与教育
854,night,n.,/naɪt/,夜，夜晚,The algorithm ran through the whole night.,科技、网络与现代生活
855,nine,num.,/naɪn/,九,The database framework contains nine core modules.,科技、网络与现代生活
856,nineteen,num.,/ˌnaɪnˈtiːn/,十九,He joined the telecom company at nineteen.,职场、工作与生涯规划
857,ninety,num.,/ˈnaɪnti/,九十,The test coverage has successfully reached ninety percent.,科技、网络与现代生活
