序号,单词,词性,音标,中文意思,简易英文例句,主题
1428,tom,n.,/tɒm/,汤姆,Tom is a senior software engineer.,人际关系与社交
1429,tomato,n.,/təˈmeɪtəʊ/,西红柿,Add some tomato to the salad.,生活、饮食与健康
1430,tomorrow,adv./n.,/təˈmɒrəʊ/,明天,We will debug the module tomorrow.,科技、网络与现代生活
1431,ton,n.,/tʌn/,吨,The server weight is over one ton.,科技、网络与现代生活
1432,tone,n.,/təʊn/,音调；语调,The tone of his voice was professional.,个人情况与情感
1433,tongue,n.,/tʌŋ/,舌头,The sensor is placed on the tongue.,生活、饮食与健康
1434,tonight,adv./n.,/təˈnaɪt/,今晚,We have a deployment tonight.,科技、网络与现代生活
1435,too,adv.,/tuː/,太；也,This script is too complex to maintain.,科技、网络与现代生活
1436,tool,n.,/tuːl/,工具,This is the best tool for code analysis.,科技、网络与现代生活
1437,toolbox,n.,/ˈtuːlbɒks/,工具箱,Keep the toolboxes in the lab.,职场、工作与生涯规划
1438,tooth,n.,/tuːθ/,牙齿,He broke his tooth during lunch.,生活、饮食与健康
1439,top,n./adj.,/tɒp/,顶部；顶级,The top of the screen shows status.,科技、网络与现代生活
1440,topic,n.,/ˈtɒpɪk/,主题,The topic of the lecture is AI.,学校生活与教育
1441,torch,n.,/tɔːtʃ/,火把；手电筒,Use a torch to check the engine.,科技、网络与现代生活
1442,toss,v./n.,/tɒs/,扔，抛,Toss the old paper in the bin.,生活、饮食与健康
1443,total,adj./n./v.,/ˈtəʊtl/,总数的；总计,The total cost is ten thousand yuan.,经济、商务与财政
1444,touch,v./n.,/tʌtʃ/,触摸；联系,Do not touch the high-voltage wire.,科技、网络与现代生活
1445,tough,adj.,/tʌf/,坚韧的；困难的,This is a tough engineering problem.,职场、工作与生涯规划
1446,tour,n./v.,/tʊə(r)/,旅游；参观,We toured the new factory yesterday.,旅游、交通与综合高频
1447,tourism,n.,/ˈtʊərɪzəm/,旅游业,Tourism is important for this city.,旅游、交通与综合高频
1448,tourist,n.,/ˈtʊərɪst/,游客,Many tourists visit the West Lake.,旅游、交通与综合高频
1449,tow,v./n.,/təʊ/,拖，拉,The broken truck was towed away.,旅游、交通与综合高频
1450,toward,prep.,/təˈwɔːd/,向，朝,Move toward the server rack.,科技、网络与现代生活
1451,towards,prep.,/təˈwɔːdz/,向，朝,He walked towards the research center.,科技、网络与现代生活
1452,towel,n.,/ˈtaʊəl/,毛巾,Wipe your hands with a clean towel.,生活、饮食与健康
1453,tower,n.,/ˈtaʊə(r)/,塔,The tower provides network coverage.,科技、网络与现代生活
1454,town,n.,/taʊn/,城镇,This town has a good industrial park.,旅游、交通与综合高频
