序号,单词,词性,音标,中文意思,简易英文例句,主题
913,particular,adj.,/pəˈtɪkjələ(r)/,特定的；挑剔的,Pay particular attention to the chip timing logs.,科技、网络与现代生活
914,particularly,adv.,/pəˈtɪkjələli/,特别，尤其,The geometry exam was particularly difficult.,学校生活与教育
915,partner,n.,/ˈpɑːtnə(r)/,伙伴；合伙人,He started a new housekeeping firm with his business partner.,职场、工作与生涯规划
916,partnership,n.,/ˈpɑːtnəʃɪp/,合伙关系；伴侣关系,They built a strong partnership in software service.,经济、商务与财政
917,party,n.,/ˈpɑːti/,聚会；政党；当事人,The legal party signed the authorization document.,历史、社会与政治
918,pass,v./n.,/pɑːs/,通过；传递；通行证,The automation script successfully passed all test cases.,科技、网络与现代生活
919,passage,n.,/ˈpæsɪdʒ/,通道；段落,Please read the comprehension passage on page ten.,学校生活与教育
920,passenger,n.,/ˈpæsɪndʒə(r)/,乘客，旅客,The plane carries passengers from Hangzhou to Lisbon.,旅游、交通与综合高频
921,passive,adj.,/ˈpæsɪv/,被动的,A passive receiver just waits for standard signals.,科技、网络与现代生活
922,passport,n.,/ˈpɑːspɔːt/,护照,Don't forget to pack your passport for international travel.,旅游、交通与综合高频
923,past,adj./n./prep.,/pɑːst/,过去的；过去；绕过,He spent the past twenty years in telecommunications.,时间概念与序列
924,patent,n./v./adj.,/ˈpætnt/,专利；取得专利,The tech firm applied for a new 5G standard patent.,科技、网络与现代生活
925,path,n.,/pɑːθ/,小路；路线；路径,Specify the accurate file path inside the Python code.,科技、网络与现代生活
926,patience,n.,/ˈpeɪʃns/,耐心,Solving complex geometry problems requires great patience.,学校生活与教育
927,patient,n./adj.,/ˈpeɪʃnt/,病人；有耐心的,The dentist is very patient with young children.,饮食、健康与运动
928,pattern,n.,/ˈpætn/,模式；图案,The AI system can identify data traffic patterns.,科技、网络与现代生活
929,pause,v./n.,/pɔːz/,暂停；顿歇,The script will pause for five seconds to load logs.,科技、网络与现代生活
930,pay,v./n.,/peɪ/,支付；薪酬,Users can pay via the WeChat Mini-Program.,科技、网络与现代生活
931,payment,n.,/ˈpeɪmənt/,支付；款项,Please configure the secure online payment gateway.,科技、网络与现代生活
932,peace,n.,/piːs/,和平；平静,The world needs permanent peace instead of wars.,历史、社会与政治
933,peaceful,adj.,/ˈpiːsfl/,和平的；平静的,West Lake is a peaceful place on Friday mornings.,旅游、交通与综合高频
934,peak,n./adj./v.,/piːk/,山峰；高峰的,Data traffic reached its peak value at nine o'clock.,科技、网络与现代生活
935,peculiar,adj.,/pɪˈkjuːliə(r)/,独特的；古怪的,The machine made a peculiar sound from the motor pillars.,科技、网络与现代生活
936,pen,n.,/pen/,钢笔,He used a red pen to correct the geometry steps.,学校生活与教育
937,penalty,n.,/ˈpenəlti/,处罚；罚款,There is a financial penalty for late payment.,经济、商务与财政
938,pencil,n.,/ˈpensl/,铅笔,Use a pencil to draw parallel lines on paper.,学校生活与教育
939,penetrate,v.,/ˈpenətreɪt/,穿透；渗透,Satellite signals can penetrate thick concrete walls.,科技、网络与现代生活
940,penny,n.,/ˈpeni/,便士,The little boy saved every penny to buy a chess set.,经济、商务与财政
941,pension,n.,/ˈpenʃn/,养老金，退休金,The factory guarantees a stable pension for senior experts.,职场、工作与生涯规划
942,people,n.,/ˈpiːpl/,人；人们；民族,Local people are very friendly to international guests.,人际关系与社交
943,pepper,n.,/ˈpepə(r)/,胡椒粉；辣椒,She added some black pepper to the delicious beef beef.,饮食、健康与运动
944,per,prep.,/pɜː(r)/,每，每一,The network chip processes millions of bits per second.,科技、网络与现代生活
945,perceive,v.,/pəˈsiːv/,察觉；理解,Humans can easily perceive facial expressions.,语言、逻辑与哲学
946,percent,n.,/pəˈsent/,百分之...,The target testing coverage is ninety percent.,科技、网络与现代生活
947,percentage,n.,/pəˈsentɪdʒ/,百分比,A high percentage of users choose the service app.,科技、网络与现代生活
948,perfect,adj./v.,/ˈpɜːfɪkt/,完美的；使完美,The technical solution fits our dynamic platform perfectly.,科技、网络与现代生活
949,perform,v.,/pəˈfɔːm/,执行；履行；表演,The automation framework will perform validation tests.,科技、网络与现代生活
950,performance,n.,/pəˈfɔːməns/,性能；履行；表演,The new compute chip delivers excellent performance.,科技、网络与现代生活
951,permanent,adj.,/ˈpɜːmənənt/,永久的，固定的,The database saves permanent records in a local CSV.,科技、网络与现代生活
952,qualify,v.,/ˈkwɒlɪfaɪ/,使具有资格；证明合格,He qualified as a senior hardware testing engineer.,职场、工作与生涯规划
